"Timestamp","Płeć","Wiek","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się świetnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w złym nastroju.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się rozluźniony i spokojny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się szaro i beznadziejnie.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem w dobrym humorze.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Jestem pogodny.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Czuję się przygnębiony.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest złe.]","Jak dalece zgadzasz się lub nie zgadzasz z następującymi zdaniami opisującymi Twój aktualny nastrój? [Moje samopoczucie jest dobre.]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Radość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Niepokój]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Strach]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Miłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Gniew]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wesołość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Upokorzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Smutek]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wzburzenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Lęk]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Żal ]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Obawa]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Złość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Załamanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Szczęście]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wściekłość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Oddanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Zadowolenie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Czułość]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Wstyd]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Poczucie winy]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Przywiązanie]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Depresja]","Jak często odczuwałeś w minionym tygodniu wymienione niżej uczucia? [Nieszczęście]","Ile godzin średnio przesypiasz w ciągu doby?","Czy masz wyznaczone pory snu?","Jak oceniasz jakość swojego snu?","Ile godzin tygodniowo poświęcasz na sport?","Jaki środek transportu wybierasz najczęściej?","Jak oceniasz swoją kondycję fizyczną?","Ile godzin (średnio) w ciągu dnia korzystasz z urządzeń elektronicznych (komputer, laptop, tablet) pracując lub ucząc się?","Ile godzin dziennie poświęcasz na korzystanie z urządzeń w celach rozrywkowych?","Czy zdarza Ci się mieć poczucie, że za dużo czasu spędzasz korzystając z urządzeń elektronicznych?","Co przeważa w Twojej diecie?","Jaką wagę przywiązujesz do jakości swoich posiłków?","Jak oceniasz regularność swoich posiłków?","Czy masz kogoś, na kim możesz polegać w trudnej sytuacji?","Z iloma osobami utrzymujesz regularny kontakt w celach towarzyskich?","Jakie znaczenie mają dla Ciebie kontakty z innymi ludźmi?"
"2019/11/01 3:39:48 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","zgadzam się","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","często","rzadko","bardzo rzadko","czasami","czasami","często","bardzo rzadko","rzadko","czasami","rzadko","rzadko","czasami","rzadko","bardzo rzadko","często","rzadko","czasami","często","często","rzadko","rzadko","często","bardzo rzadko","bardzo rzadko","6-8","4","3","1 - 2,5","komunikacja miejska","3","5 - 8","więcej niż 4","często","mam zbilansowaną dietę","jest to dla mnie dość ważne","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 3:40:31 PM GMT+1","mężczyzna","21","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","nigdy","nigdy","rzadko","nigdy","zawsze","nigdy","nigdy","bardzo rzadko","nigdy","nigdy","nigdy","nigdy","nigdy","bardzo często","nigdy","nigdy","bardzo często","rzadko","nigdy","nigdy","nigdy","nigdy","nigdy","6-8","4","4","więcej niż 4","komunikacja miejska","3","5 - 8","2 - 3","czasami","mam zbilansowaną dietę","jestem tym, co jem!","mam stałe pory posiłków","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 3:43:46 PM GMT+1","kobieta","23","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","często","czasami","czasami","czasami","rzadko","bardzo często","rzadko","bardzo rzadko","rzadko","czasami","nigdy","czasami","bardzo rzadko","nigdy","często","nigdy","często","bardzo często","czasami","bardzo rzadko","bardzo rzadko","czasami","nigdy","nigdy","6-8","3","3","2,5 - 4","chodzę pieszo","3","5 - 8","1 - 2","często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 3:44:15 PM GMT+1","kobieta","22","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","zgadzam się","raczej się nie zgadzam","zgadzam się","bardzo rzadko","zawsze","zawsze","nigdy","zawsze","czasami","rzadko","często","często","zawsze","zawsze","zawsze","zawsze","zawsze","czasami","często","często","często","nigdy","zawsze","zawsze","zawsze","zawsze","zawsze","6-8","1","3","nie uprawiam żadnego sportu","komunikacja miejska","2","powyżej 8","2 - 3","bardzo często","żywność mocno przetworzona (mrożonki, gotowe dania)","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","4"
"2019/11/01 3:44:32 PM GMT+1","kobieta","22","zgadzam się","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","często","często","bardzo rzadko","zawsze","czasami","bardzo rzadko","bardzo często","często","często","często","często","często","często","bardzo często","rzadko","rzadko","bardzo rzadko","bardzo rzadko","rzadko","często","czasami","bardzo często","często","często","6-8","1","2","1 - 2,5","chodzę pieszo","3","mniej niż 3","mniej niż 1","nigdy","mam zbilansowaną dietę","jestem tym, co jem!","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","3"
"2019/11/01 3:45:13 PM GMT+1","kobieta","20","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","często","bardzo często","czasami","czasami","czasami","często","rzadko","czasami","rzadko","czasami","bardzo rzadko","rzadko","czasami","rzadko","często","bardzo rzadko","często","bardzo często","często","rzadko","bardzo rzadko","czasami","bardzo rzadko","bardzo rzadko","4-6","2","3","1 - 2,5","chodzę pieszo","4","mniej niż 3","mniej niż 1","czasami","warzywa i owoce","jest to dla mnie dość ważne","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","2 - 3","5"
"2019/11/01 3:45:52 PM GMT+1","mężczyzna","20","nie zgadzam się","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","bardzo często","czasami","bardzo rzadko","bardzo często","nigdy","bardzo często","nigdy","bardzo rzadko","nigdy","bardzo rzadko","nigdy","bardzo rzadko","nigdy","bardzo rzadko","bardzo często","nigdy","czasami","bardzo często","bardzo często","nigdy","nigdy","bardzo często","nigdy","nigdy","6-8","1","4","2,5 - 4","komunikacja miejska","4","5 - 8","2 - 3","rzadko","żywność mocno przetworzona (mrożonki, gotowe dania)","jest to dla mnie dość ważne","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 3:46:42 PM GMT+1","kobieta","20","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","często","rzadko","bardzo rzadko","bardzo często","rzadko","bardzo często","bardzo rzadko","czasami","rzadko","nigdy","rzadko","rzadko","rzadko","nigdy","czasami","bardzo rzadko","często","często","bardzo często","bardzo rzadko","bardzo rzadko","bardzo często","nigdy","nigdy","6-8","4","4","1 - 2,5","chodzę pieszo","3","3 - 5","mniej niż 1","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 3:47:21 PM GMT+1","mężczyzna","27","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","raczej się nie zgadzam","raczej się zgadzam","zawsze","nigdy","bardzo rzadko","bardzo rzadko","rzadko","bardzo często","nigdy","nigdy","bardzo rzadko","nigdy","nigdy","czasami","czasami","nigdy","zawsze","bardzo rzadko","nigdy","zawsze","nigdy","nigdy","nigdy","zawsze","nigdy","nigdy","6-8","4","5","1 - 2,5","samochód","4","5 - 8","1 - 2","często","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 3:48:19 PM GMT+1","mężczyzna","25","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","bardzo często","często","czasami","czasami","często","często","rzadko","rzadko","często","często","często","często","często","czasami","bardzo często","często","czasami","bardzo często","często","czasami","czasami","zawsze","często","często","8-10","4","3","mniej niż 1","komunikacja miejska","3","3 - 5","2 - 3","czasami","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","5 i więcej","4"
"2019/11/01 3:50:16 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","czasami","często","czasami","bardzo rzadko","czasami","czasami","często","często","często","często","często","często","często","bardzo często","czasami","czasami","rzadko","często","bardzo rzadko","często","czasami","rzadko","często","często","6-8","2","3","1 - 2,5","chodzę pieszo","5","powyżej 8","więcej niż 4","bardzo często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","staram się jeść regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","2 - 3","3"
"2019/11/01 3:51:47 PM GMT+1","mężczyzna","34","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","rzadko","często","nigdy","bardzo rzadko","czasami","czasami","bardzo rzadko","czasami","bardzo rzadko","czasami","czasami","często","czasami","nigdy","czasami","nigdy","czasami","czasami","bardzo rzadko","często","często","często","nigdy","bardzo rzadko","6-8","4","4","2,5 - 4","komunikacja miejska","4","powyżej 8","1 - 2","bardzo często","warzywa i owoce","jest to dla mnie dość ważne","zazwyczaj jem regularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","4"
"2019/11/01 3:52:33 PM GMT+1","mężczyzna","21","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","zgadzam się","raczej się zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","często","czasami","rzadko","rzadko","rzadko","czasami","bardzo rzadko","czasami","czasami","bardzo rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","czasami","nigdy","bardzo rzadko","czasami","bardzo rzadko","bardzo rzadko","rzadko","bardzo rzadko","nigdy","bardzo rzadko","6-8","4","3","mniej niż 1","chodzę pieszo","3","3 - 5","2 - 3","rzadko","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 3:53:02 PM GMT+1","kobieta","21","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","często","czasami","czasami","często","rzadko","czasami","bardzo rzadko","bardzo rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","bardzo rzadko","często","rzadko","czasami","często","czasami","bardzo rzadko","nigdy","rzadko","nigdy","bardzo rzadko","4-6","1","3","nie uprawiam żadnego sportu","komunikacja miejska","3","mniej niż 3","1 - 2","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","zazwyczaj jem regularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","2 - 3","3"
"2019/11/01 3:56:01 PM GMT+1","mężczyzna","15","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","nie zgadzam się","trochę tak, trochę nie","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","czasami","rzadko","nigdy","nigdy","często","czasami","nigdy","bardzo często","bardzo rzadko","nigdy","czasami","bardzo rzadko","rzadko","bardzo rzadko","rzadko","bardzo rzadko","rzadko","rzadko","nigdy","nigdy","nigdy","często","bardzo rzadko","rzadko","4-6","3","3","więcej niż 4","samochód","5","3 - 5","mniej niż 1","często","mam zbilansowaną dietę","jest to dla mnie dość ważne","zazwyczaj jem regularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","2"
"2019/11/01 4:03:32 PM GMT+1","kobieta","23","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","rzadko","bardzo rzadko","zawsze","rzadko","bardzo często","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo często","bardzo rzadko","bardzo często","często","bardzo często","bardzo rzadko","bardzo rzadko","czasami","nigdy","bardzo rzadko","6-8","3","3","mniej niż 1","komunikacja miejska","3","3 - 5","1 - 2","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","4"
"2019/11/01 4:17:57 PM GMT+1","kobieta","22","nie zgadzam się","trochę tak, trochę nie","nie zgadzam się","trochę tak, trochę nie","raczej się nie zgadzam","raczej się zgadzam","zgadzam się","raczej się nie zgadzam","nie zgadzam się","zgadzam się","często","czasami","rzadko","często","bardzo rzadko","często","nigdy","rzadko","bardzo rzadko","bardzo rzadko","nigdy","czasami","nigdy","nigdy","często","nigdy","często","bardzo często","czasami","nigdy","nigdy","często","nigdy","bardzo rzadko","6-8","4","4","mniej niż 1","samochód","3","nie używam/rzadko używam komputera do pracy/nauki","2 - 3","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","różnie z tym bywa","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","5"
"2019/11/01 4:18:45 PM GMT+1","mężczyzna","18","nie zgadzam się","zgadzam się","nie zgadzam się","raczej się zgadzam","nie zgadzam się","zgadzam się","raczej się zgadzam","nie zgadzam się","nie zgadzam się","raczej się zgadzam","często","rzadko","bardzo rzadko","czasami","często","często","nigdy","rzadko","rzadko","nigdy","bardzo rzadko","bardzo rzadko","czasami","bardzo rzadko","często","czasami","często","często","bardzo często","bardzo rzadko","rzadko","bardzo często","bardzo rzadko","nigdy","8-10","4","4","2,5 - 4","chodzę pieszo","4","mniej niż 3","2 - 3","czasami","mam zbilansowaną dietę","staram się jeść zdrowo, ale mi nie wychodzi","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","4 - 5","3"
"2019/11/01 4:19:49 PM GMT+1","mężczyzna","23","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","trochę tak, trochę nie","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się nie zgadzam","bardzo rzadko","rzadko","bardzo rzadko","rzadko","czasami","bardzo rzadko","nigdy","często","czasami","czasami","często","rzadko","czasami","często","bardzo rzadko","czasami","rzadko","bardzo rzadko","rzadko","bardzo rzadko","rzadko","rzadko","często","bardzo często","4-6","2","2","więcej niż 4","komunikacja miejska","3","powyżej 8","3 - 4","bardzo często","mięso i ciężkostrawne potrawy","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","z rodziną/znajomymi nie poruszam poważnych tematów","1","1"
"2019/11/01 4:20:19 PM GMT+1","kobieta","21","trochę tak, trochę nie","raczej się zgadzam","trochę tak, trochę nie","raczej się zgadzam","raczej się nie zgadzam","zgadzam się","zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","raczej się zgadzam","czasami","rzadko","czasami","rzadko","rzadko","czasami","bardzo rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","czasami","rzadko","rzadko","czasami","rzadko","rzadko","rzadko","rzadko","rzadko","rzadko","8-10","5","5","mniej niż 1","komunikacja miejska","3","3 - 5","2 - 3","często","mam zbilansowaną dietę","jestem tym, co jem!","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","3"
"2019/11/01 4:22:07 PM GMT+1","kobieta","15","zgadzam się","nie zgadzam się","zgadzam się","raczej się nie zgadzam","zgadzam się","nie zgadzam się","raczej się nie zgadzam","zgadzam się","zgadzam się","nie zgadzam się","czasami","bardzo często","czasami","zawsze","bardzo często","bardzo rzadko","czasami","zawsze","często","często","często","często","często","zawsze","nigdy","czasami","rzadko","nigdy","bardzo rzadko","czasami","bardzo często","bardzo często","zawsze","zawsze","8-10","2","3","1 - 2,5","komunikacja miejska","3","mniej niż 3","więcej niż 4","bardzo często","warzywa i owoce","staram się jeść zdrowo, ale mi nie wychodzi","jem nieregularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","4 - 5","4"
"2019/11/01 4:24:15 PM GMT+1","kobieta","21","nie zgadzam się","raczej się zgadzam","raczej się nie zgadzam","zgadzam się","nie zgadzam się","trochę tak, trochę nie","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","raczej się zgadzam","bardzo często","czasami","nigdy","bardzo często","czasami","często","nigdy","rzadko","rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo często","bardzo rzadko","często","często","bardzo często","nigdy","nigdy","zawsze","nigdy","nigdy","6-8","4","4","nie uprawiam żadnego sportu","komunikacja miejska","3","3 - 5","1 - 2","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","4 - 5","4"
"2019/11/01 4:36:47 PM GMT+1","kobieta","14","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","rzadko","czasami","rzadko","zawsze","często","czasami","nigdy","często","bardzo rzadko","nigdy","rzadko","bardzo rzadko","czasami","bardzo często","rzadko","czasami","nigdy","bardzo rzadko","nigdy","nigdy","nigdy","zawsze","czasami","rzadko","4-6","3","3","mniej niż 1","chodzę pieszo","4","mniej niż 3","3 - 4","czasami","fast food","wszystko mi jedno","różnie z tym bywa","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","2 - 3","4"
"2019/11/01 4:39:35 PM GMT+1","kobieta","21","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","czasami","bardzo często","często","czasami","czasami","rzadko","bardzo często","zawsze","rzadko","zawsze","zawsze","zawsze","często","bardzo często","bardzo rzadko","czasami","zawsze","czasami","często","często","bardzo często","bardzo często","bardzo często","bardzo często","4-6","1","1","1 - 2,5","komunikacja miejska","3","mniej niż 3","1 - 2","rzadko","fast food","wszystko mi jedno","jem nieregularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","2 - 3","1"
"2019/11/01 4:40:57 PM GMT+1","kobieta","18","raczej się zgadzam","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","czasami","zawsze","zawsze","bardzo rzadko","czasami","rzadko","bardzo rzadko","zawsze","bardzo często","zawsze","zawsze","zawsze","często","zawsze","często","bardzo rzadko","zawsze","czasami","bardzo rzadko","często","zawsze","zawsze","bardzo często","bardzo często","8-10","1","5","2,5 - 4","komunikacja miejska","2","5 - 8","1 - 2","często","fast food","wszystko mi jedno","jem nieregularnie","na ogół mam do kogo zwrócić się z problemem","4 - 5","5"
"2019/11/01 4:43:47 PM GMT+1","kobieta","23","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","nie zgadzam się","nie zgadzam się","raczej się nie zgadzam","rzadko","rzadko","rzadko","rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","nigdy","nigdy","nigdy","rzadko","nigdy","rzadko","rzadko","rzadko","nigdy","nigdy","rzadko","rzadko","bardzo rzadko","6-8","4","3","mniej niż 1","komunikacja miejska","3","mniej niż 3","2 - 3","często","mięso i ciężkostrawne potrawy","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","5"
"2019/11/01 4:44:29 PM GMT+1","mężczyzna","21 lat","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","nie zgadzam się","zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","zgadzam się","bardzo często","bardzo rzadko","rzadko","często","czasami","bardzo często","nigdy","bardzo rzadko","rzadko","rzadko","bardzo rzadko","rzadko","rzadko","bardzo rzadko","bardzo często","nigdy","często","bardzo często","często","bardzo rzadko","rzadko","często","nigdy","nigdy","6-8","4","5","mniej niż 1","chodzę pieszo","4","3 - 5","1 - 2","nigdy","mam zbilansowaną dietę","jest to dla mnie dość ważne","zazwyczaj jem regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 4:56:37 PM GMT+1","mężczyzna","18","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","raczej się zgadzam","raczej się nie zgadzam","raczej się nie zgadzam","nie zgadzam się","nie zgadzam się","trochę tak, trochę nie","często","nigdy","nigdy","bardzo często","bardzo rzadko","często","nigdy","czasami","nigdy","nigdy","nigdy","bardzo rzadko","bardzo rzadko","nigdy","często","nigdy","rzadko","bardzo często","często","nigdy","nigdy","bardzo często","nigdy","nigdy","8-10","3","2","więcej niż 4","chodzę pieszo","4","5 - 8","3 - 4","rzadko","mam zbilansowaną dietę","jest to dla mnie dość ważne","staram się jeść regularnie","mam osoby, z którymi mogę porozmawiać o wszystkim","5 i więcej","4"
"2019/11/01 4:56:51 PM GMT+1","mężczyzna","21","raczej się zgadzam","raczej się nie zgadzam","raczej się zgadzam","nie zgadzam się","zgadzam się","nie zgadzam się","nie zgadzam się","raczej się zgadzam","raczej się zgadzam","nie zgadzam się","rzadko","czasami","rzadko","często","często","rzadko","rzadko","często","często","czasami","często","często","często","często","rzadko","często","często","rzadko","często","rzadko","rzadko","często","czasami","często","4-6","5","3","2,5 - 4","komunikacja miejska","4","nie używam/rzadko używam komputera do pracy/nauki","1 - 2","rzadko","mam zbilansowaną dietę","wszystko mi jedno","staram się jeść regularnie","na ogół mam do kogo zwrócić się z problemem","2 - 3","3"
"2019/11/01 4:59:10 PM GMT+1","kobieta","21","trochę tak, trochę nie","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","trochę tak, trochę nie","trochę tak, trochę nie","raczej się nie zgadzam","czasami","czasami","bardzo rzadko","nigdy","bardzo rzadko","czasami","nigdy","czasami","rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","rzadko","rzadko","rzadko","rzadko","czasami","czasami","rzadko","bardzo rzadko","bardzo rzadko","bardzo rzadko","czasami","czasami","4-6","1","3","nie uprawiam żadnego sportu","samochód","3","3 - 5","2 - 3","często","mam zbilansowaną dietę","nie jest to moim priorytetem","jem nieregularnie","nie czuję się komfortowo rozmawiając na trudne tematy z rodziną/znajomymi","5 i więcej","4"
"2019/11/01 5:02:44 PM GMT+1","kobieta","21","nie zgadzam się","raczej się nie zgadzam","nie zgadzam się","raczej się nie zgadzam","trochę tak, trochę nie","raczej się nie zgadzam","raczej się nie zgadzam","raczej się zgadzam","raczej się zgadzam","raczej się nie zgadzam","czasami","często","bardzo często","rzadko","rzadko","czasami","rzadko","często","bardzo rzadko","często","bardzo rzadko","często","bardzo rzadko","czasami","czasami","bardzo rzadko","bardzo rzadko","czasami","rzadko","bardzo rzadko","rzadko","rzadko","czasami","czasami","6-8","3","4","mniej niż 1","komunikacja miejska","3","3 - 5","2 - 3","często","żywność mocno przetworzona (mrożonki, gotowe dania)","nie jest to moim priorytetem","różnie z tym bywa","na ogół mam do kogo zwrócić się z problemem","2 - 3","4"
